Channel,WAV,Begin Time (s),call_type,Repetition,localization
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3859.158901515,52,3,2199.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,6725.147661378,52,3,3365.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,6731.181743704,52,3,3365.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,6720.954485523,52,3,3365.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9415.022752583,52,3,4517.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9418.80683811,52,3,4517.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9418.397747783,52,3,4517.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9426.579554328,52,3,4544.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9426.988644655,52,3,4544.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9423.409104292,52,3,4544.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9433.738635054,52,3,4545.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9434.454543127,52,3,4545.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9430.465912437,52,3,4545.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9437.522720581,52,3,4546.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9441.306806108,52,3,4546.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9440.999988363,52,3,4546.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9446.113617453,52,3,4547.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9450.204520726,52,3,4547.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9449.590885235,52,3,4547.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9470.352219342,52,3,4551.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9470.659037087,52,3,4551.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9466.670406397,52,3,4551.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9492.443097013,52,3,4555.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9493.056732504,52,3,4555.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9489.068101813,52,3,4555.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9502.812439461,52,3,4561.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9503.67231085,52,3,4561.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9499.372953907,52,3,4561.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9512.55764853,52,3,4562.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9512.700960428,52,3,4562.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9508.83153918,52,3,4562.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9523.01941709,52,3,4563.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9523.592664682,52,3,4563.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9519.579931536,52,3,4563.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9794.997198088,52,3,4645.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9795.283821884,52,3,4645.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,9791.414400636,52,3,4645.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,11490.665880272,52,3,5108.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,11501.27096073,52,3,5108.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,11498.118098972,52,3,5108.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,11493.532118234,52,3,5109.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,11496.684979992,52,3,5109.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,11486.223211432,52,3,5109.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,11482.64041398,52,3,5110.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,11492.958870642,52,3,5110.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,11489.37607319,52,3,5110.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,15272.930492367,52,3,6416.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,15276.083354124,52,3,6416.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,15266.911392648,52,3,6416.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,15288.981424951,52,3,6418.0
